player,score
"['agent_Hieu_val', 'agent_Hieuuu', 'agent_Ann', 'longlee']","[16, 12, 8, 4]"
"['agent_Hieu_val', 'agent_Hieuuu', 'agent_Ann', 'phi']","[16, 10, 5, 5]"
"['agent_Ann', 'agent_Hieu_val', 'Trang9PM_1905', 'agent_Hieuuu']","[17, 9, 7, 6]"
"['agent_Hieuuu', 'agent_Hieu_val', 'agent_Ann', 'Trangold']","[17, 11, 10, 9]"
"['agent_Hieu_val', 'agent_Ann', 'Viet_Anh', 'agent_Hieuuu']","[15, 11, 10, 9]"
"['agent_Hoang', 'agent_Ann', 'agent_Hieu_val', 'agent_HungThom']","[20, 14, 10, 10]"
"['agent_Ann', 'agent_Hoang', 'agent_Hieu_val', 'agent_Khanh']","[15, 15, 6, 1]"
"['agent_Hoang', 'agent_MA', 'agent_Ann', 'agent_Hieu_val']","[15, 10, 6, 4]"
"['agent_Hoang', 'agent_Ann', 'agent_Hieu_val', 'agent_NA']","[15, 10, 9, 8]"
"['agent_Ann', 'agent_Hieu_val', 'agent_NhatMinh', 'agent_Hoang']","[16, 6, 5, 4]"
"['agent_Ann', 'agent_Phong', 'agent_Hoang', 'agent_Hieu_val']","[17, 9, 6, 5]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Hoang', 'agent_random']","[18, 11, 6, 2]"
"['agent_Hieu_val', 'agent_Thu_Trang', 'agent_Ann', 'agent_Hoang']","[19, 16, 14, 10]"
"['agent_Hieu_val', 'agent_TongMinh', 'agent_Ann', 'agent_Hoang']","[19, 13, 8, 4]"
"['agent_Hieu_val', 'agent_Ann', 'agent_Hoang', 'agent_xung']","[16, 15, 14, 9]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_Ann', 'Dat']","[19, 15, 10, 7]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_Ann', 'longlee']","[15, 10, 7, 6]"
"['phi', 'agent_Hieu_val', 'agent_Ann', 'agent_Hoang']","[15, 9, 8, 8]"
"['agent_Ann', 'agent_Hoang', 'Trang9PM_1905', 'agent_Hieu_val']","[16, 10, 5, 4]"
"['agent_Ann', 'Trangold', 'agent_Hoang', 'agent_Hieu_val']","[15, 14, 10, 7]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_Ann', 'Viet_Anh']","[21, 16, 15, 5]"
"['agent_Hieu_val', 'agent_Ann', 'agent_HungThom', 'agent_Khanh']","[15, 14, 12, 3]"
